+--------------------------------------------------------------------------------------------------------------------------------------------------+
| key                                                                | types                                 | occurrences | percents              |
| images.ingredients_fr.angle                                        | null (489),Number (86),String (4)     |         579 |  14.46776611694152948 |
| images.ingredients_fr.geometry                                     | String                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.imgid                                        | String (557),Number (22)              |         579 |  14.46776611694152948 |
| images.ingredients_fr.normalize                                    | null (469),String (110)               |         579 |  14.46776611694152948 |
| images.ingredients_fr.rev                                          | String (478),Number (101)             |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes                                        | Object                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.100                                    | Object                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.100.h                                  | Number                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.100.w                                  | Number                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.200                                    | Object                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.200.h                                  | Number                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.200.w                                  | Number                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.400                                    | Object                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.400.h                                  | Number                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.400.w                                  | Number                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.full                                   | Object                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.full.h                                 | Number                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.sizes.full.w                                 | Number                                |         579 |  14.46776611694152948 |
| images.ingredients_fr.white_magic                                  | null (469),String (110)               |         579 |  14.46776611694152948 |
| images.ingredients_fr.x1                                           | null (489),Number (38),String (52)    |         579 |  14.46776611694152948 |
| images.ingredients_fr.x2                                           | null (489),Number (38),String (52)    |         579 |  14.46776611694152948 |
| images.ingredients_fr.y1                                           | null (489),Number (38),String (52)    |         579 |  14.46776611694152948 |
| images.ingredients_fr.y2                                           | null (489),Number (38),String (52)    |         579 |  14.46776611694152948 |
| ingredients_text                                                   | String                                |         496 |  12.39380309845077477 |
| ingredients_from_or_that_may_be_from_palm_oil_n                    | Number                                |         493 |  12.31884057971014457 |
| additives_n                                                        | Number                                |         481 |  12.01899050474762554 |
| additives_old_n                                                    | Number                                |         481 |  12.01899050474762554 |
| additives_prev_n                                                   | Number                                |         481 |  12.01899050474762554 |
| ingredients_from_palm_oil_n                                        | Number                                |         481 |  12.01899050474762554 |
| ingredients_n                                                      | Number (363),String (118)             |         481 |  12.01899050474762554 |
| ingredients_n_tags                                                 | Array                                 |         481 |  12.01899050474762554 |
| ingredients_that_may_be_from_palm_oil_n                            | Number                                |         481 |  12.01899050474762554 |
| additives                                                          | String                                |         480 |  11.99400299850074880 |
| additives_prev                                                     | String                                |         480 |  11.99400299850074880 |
| ingredients.XX.id                                                  | String                                |         480 |  11.99400299850074880 |
| ingredients.XX.rank                                                | Number                                |         480 |  11.99400299850074880 |
| ingredients.XX.text                                                | String                                |         480 |  11.99400299850074880 |
| ingredients_text_fr                                                | String                                |         461 |  11.51924037981009441 |
| ingredients_text_fr_debug_tags                                     | Array                                 |         459 |  11.46926536731634094 |
| countries_debug_tags                                               | Array                                 |         451 |  11.26936531734132885 |
| labels_debug_tags                                                  | Array                                 |         428 |  10.69465267366316930 |
| labels_hierarchy                                                   | Array                                 |         428 |  10.69465267366316930 |
| labels_prev_hierarchy                                              | Array                                 |         428 |  10.69465267366316930 |
| labels_prev_tags                                                   | Array                                 |         428 |  10.69465267366316930 |
| labels_tags                                                        | Array                                 |         428 |  10.69465267366316930 |
| cities_tags                                                        | Array                                 |         376 |   9.39530234882558801 |
| emb_codes                                                          | String                                |         376 |   9.39530234882558801 |
| emb_codes_tags                                                     | Array                                 |         376 |   9.39530234882558801 |
| categories                                                         | String                                |         351 |   8.77061469265367322 |
| pnns_groups_2                                                      | String                                |         351 |   8.77061469265367322 |
| pnns_groups_2_tags                                                 | Array                                 |         351 |   8.77061469265367322 |
| languages.en:english                                               | Number                                |         343 |   8.57071464267866112 |
| languages_codes.en                                                 | Number                                |         343 |   8.57071464267866112 |
| nutriments.energy                                                  | String (153),Number (180)             |         333 |   8.32083958020989556 |
| nutriments.energy_100g                                             | String (155),Number (178)             |         333 |   8.32083958020989556 |
| nutriments.energy_serving                                          | String (197),Number (136)             |         333 |   8.32083958020989556 |
| nutriments.energy_unit                                             | String                                |         333 |   8.32083958020989556 |
| nutriments.energy_value                                            | String                                |         333 |   8.32083958020989556 |
| ingredients_text_with_allergens_en                                 | null (302),String (28)                |         330 |   8.24587706146926536 |
| nutriments.carbohydrates                                           | Number (255),String (73)              |         328 |   8.19590204897551189 |
